dates,campaign_name,creative_name,total_spent,impressions,clicks,click_through_rate,leads,platform,adset_name,cost_per_lead,conversion_rate
5/2/2024,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,946.38,3154,9,0.28535193,1.0,Facebook,USP-2_KA_TN_050424,946.38,11.11111111111111
5/2/2024,USP_2_Lead-gen-2_Top4-states_050424,USP_S1_We-guarantee,296.94,1466,10,0.68212824,1.0,Facebook,USP-2_AP_TS_050424,296.94,10.0
5/2/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1201.92,3056,34,1.11256545,6.0,Facebook,All India Generic Leads Ad Set_240224,200.32000000000002,17.647058823529413
5/2/2024,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,214.4,592,4,0.67567568,1.0,Facebook,USP-2_AP_TS_050424,214.4,25.0
5/2/2024,USP_2_Lead-gen-1_220124,USP_S3_never-been-easier,42.96,2,2,100,1.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,42.96,50.0
5/4/2024,USP Study Abroad_Generic_240224,USP_S1_We-guarantee,379.82,135,11,8.14814815,4.0,Facebook,All India Counselling Look-a-like_290224,94.955,36.36363636363637
5/4/2024,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,87.15,55,1,1.81818182,1.0,Facebook,All India Counselling Look-a-like_290224,87.15,100.0
5/4/2024,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,18.21,28,1,3.57142857,1.0,Facebook,All India Counselling Look-a-like_290224,18.21,100.0
5/4/2024,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,788.22,1939,32,1.65033522,4.0,Facebook,All India Counselling Look-a-like_290224,197.055,12.5
5/4/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1082.62,4325,21,0.48554913,2.0,Facebook,All India focusing on Uni Ad Set_060324,541.31,9.523809523809524
5/4/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1362.76,684,27,3.94736842,8.0,Facebook,All India Counselling Look-a-like_290224,170.345,29.629629629629626
5/4/2024,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,900.73,1112,21,1.88848921,4.0,Facebook,All India Generic Leads Ad Set_240224,225.1825,19.047619047619047
5/4/2024,USP_2_Lead-gen-1_220124,#6 ( Graphic ) - Master's Degree In 12 Months,487.25,1132,13,1.14840989,4.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,121.8125,30.76923076923077
5/4/2024,USP_2_Lead-gen-1_220124,#8 ( Graphic ) - Study In The USA,1729.38,4942,34,0.68798057,8.0,Facebook,USP-2_Data_Job-title_India_exclude_KATNTSAP,216.1725,23.52941176470588
5/4/2024,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,89.0,32,5,15.625,3.0,Facebook,All India Generic Leads Ad Set_240224,29.666666666666668,60.0
